userid,course_number,question_number,question_content,answer_content,grade
D-2020_U45,5,1,今日の内容を自分なりの言葉で説明してみてください,離散時間信号を連続時間信号に復元する方法とそれに必要な条件,B
D-2020_U45,5,2,今日の内容で、分かったこと・できたことを書いてください,"フーリエ変換を用いることで，離散時間信号を連続時間信号に復元することができる
(サンプリング周波数) ≧ 2*(信号の最高周波数成分)であれば，完全に復元できる
低域フィルタを設けることで，多少品質は悪くなるが，信号を通信することができる",B
D-2020_U45,5,3,今日の内容で、分からなかったこと・できなかったことを書いてください,なし,B
D-2020_U45,5,4,質問があれば書いてください,なし,B
D-2020_U45,5,5,今日の授業の感想や反省を書いてください,"フーリエさんってすごい
素直にそう思いました",B
D-2020_U45,6,1,今日の内容を自分なりの言葉で説明してみてください,"フーリエ変換できない信号は，Z変換を用いる
",B
D-2020_U45,6,2,今日の内容で、分かったこと・できたことを書いてください,"Z変換の定義
Z変換の計算",B
D-2020_U45,6,3,今日の内容で、分からなかったこと・できなかったことを書いてください,なし,B
D-2020_U45,6,4,質問があれば書いてください,なし,B
D-2020_U45,6,5,今日の授業の感想や反省を書いてください,復習しないとすぐ忘れそうだと感じました,B
D-2020_U45,7,1,今日の内容を自分なりの言葉で説明してみてください,"逆Z変換の性質
逆Z変換の計算方法",B
D-2020_U45,7,2,今日の内容で、分かったこと・できたことを書いてください,"定義によれば線積分を用いて逆Z変換を計算するが難しい
難しいので部分分数分解を用いて計算する",B
D-2020_U45,7,3,今日の内容で、分からなかったこと・できなかったことを書いてください,なし,B
D-2020_U45,7,4,質問があれば書いてください,なし,B
D-2020_U45,7,5,今日の授業の感想や反省を書いてください,色々な変換対が出てきてややこしいです,B
D-2020_U45,8,1,今日の内容を自分なりの言葉で説明してみてください,これまでの復習,B
D-2020_U45,8,2,今日の内容で、分かったこと・できたことを書いてください,復習,B
D-2020_U45,8,3,今日の内容で、分からなかったこと・できなかったことを書いてください,なし,B
D-2020_U45,8,4,質問があれば書いてください,なし,B
D-2020_U45,8,5,今日の授業の感想や反省を書いてください,なし,B
D-2020_U45,9,1,今日の内容を自分なりの言葉で説明してみてください,"離散時間信号の入出力関係は伝達関数を用いる
伝達関数はZ変換で求めることができる",B
D-2020_U45,9,2,今日の内容で、分かったこと・できたことを書いてください,"入出力関係の具体的な計算方法
実際の計算",B
D-2020_U45,9,3,今日の内容で、分からなかったこと・できなかったことを書いてください,なし,B
D-2020_U45,9,4,質問があれば書いてください,なし,B
D-2020_U45,9,5,今日の授業の感想や反省を書いてください,ラプラス変換との関係はどうなってるのか気になった,B
D-2020_U45,10,1,今日の内容を自分なりの言葉で説明してみてください,"時不変線形システムの図式化
時不変線形システムの周波数特性",B
D-2020_U45,10,2,今日の内容で、分かったこと・できたことを書いてください,"時不変線形システムの図式化する方法
時不変線形システムの振幅特性，周波数特性の求め方",B
D-2020_U45,10,5,今日の授業の感想や反省を書いてください,先週の内容を完全に忘れていたので思い出すのに手間取った,B
D-2020_U45,11,1,今日の内容を自分なりの言葉で説明してみてください,"離散時間フーリエ変換
離散フーリエ変換",B
D-2020_U45,11,2,今日の内容で、分かったこと・できたことを書いてください,"離散時間信号をフーリエ変換する方法
離散時間信号を離散スペクトルにフーリエ変換する方法",B
D-2020_U45,11,3,今日の内容で、分からなかったこと・できなかったことを書いてください,なし,B
D-2020_U45,11,4,質問があれば書いてください,なし,B
D-2020_U45,11,5,今日の授業の感想や反省を書いてください,復習大変だなぁと思いました,B
D-2020_U45,12,1,今日の内容を自分なりの言葉で説明してみてください,離散フーリエ変換の高速化手法,B
D-2020_U45,12,2,今日の内容で、分かったこと・できたことを書いてください,高速フーリエ変換の具体的手法,B
D-2020_U45,12,3,今日の内容で、分からなかったこと・できなかったことを書いてください,なし,B
D-2020_U45,12,5,今日の授業の感想や反省を書いてください,コンピュータも大喜び,B
D-2020_U45,13,1,今日の内容を自分なりの言葉で説明してみてください,"フィルターの有用性
フィルターの作成手法",B
D-2020_U45,13,2,今日の内容で、分かったこと・できたことを書いてください,フィルター作成の具体的手順,B
D-2020_U45,13,3,今日の内容で、分からなかったこと・できなかったことを書いてください,なし,B
D-2020_U45,13,4,質問があれば書いてください,なし,B
D-2020_U45,13,5,今日の授業の感想や反省を書いてください,半年で講義は終わったが，この理論が構築されるまで何年もかかったんだろうなと思った,B
D-2020_U48,1,1,今日の内容を自分なりの言葉で説明してみてください,成績のつけ方、システムの使い方、授業の進め方などの説明。,A
D-2020_U48,1,2,今日の内容で、分かったこと・できたことを書いてください,データダイエットは本来の意味のダイエットと同じくらい大切だという事や、九大が独自に作っているシステムの事などを知ることができた。,A
D-2020_U48,1,3,今日の内容で、分からなかったこと・できなかったことを書いてください,特になし。,A
D-2020_U48,1,4,質問があれば書いてください,特になし。,A
D-2020_U48,1,5,今日の授業の感想や反省を書いてください,説明がとても丁寧で分かりやすく、これからの講義を安心して受けられそうだと思った。,A
D-2020_U48,2,1,今日の内容を自分なりの言葉で説明してみてください,ディジタル信号処理の大まかな概要,A
D-2020_U48,2,2,今日の内容で、分かったこと・できたことを書いてください,"信号は時間と振幅がそれぞれ連続的か離散的かで4種類に分類できることや, アナログ信号からディジタル信号に変換する操作(標本化, 量子化, 符号化)について理解することができた.",A
D-2020_U48,2,3,今日の内容で、分からなかったこと・できなかったことを書いてください,D/A変換についてはよく分からなかった(特に標本化定理),A
D-2020_U48,2,5,今日の授業の感想や反省を書いてください,"ディジタル信号処理が様々な分野で使われていることを知り, 興味が強くなった.",A
D-2020_U48,3,1,今日の内容を自分なりの言葉で説明してみてください,"周期信号について, 主にフーリエ級数で表現する方法.",A
D-2020_U48,3,2,今日の内容で、分かったこと・できたことを書いてください,"周期信号が正弦波と余弦波の合成で得られることが分かった. また, その性質を利用した周期信号のフーリエ級数表現と複素フーリエ級数表現について知ることができた.",A
D-2020_U48,3,3,今日の内容で、分からなかったこと・できなかったことを書いてください,フーリエ係数の求め方がどうしてその形になるのかが分からなかった.,A
D-2020_U48,3,5,今日の授業の感想や反省を書いてください,"一部分からない部分(そんなに重要でもなさそうな部分)もあったが, 大まかな考え方やフーリエ級数の求め方については理解することができたと思う.  ぼけーっとしててスペクトルについてちゃんと聞いていなかったので, 反省したい.",A
D-2020_U48,4,1,今日の内容を自分なりの言葉で説明してみてください,"非周期信号を周期無限大の周期信号だと考えてフーリエ級数に適用させる方法→フーリエ変換、フーリエ逆変換
また、フーリエ変換の性質や代表的なフーリエ変換対の紹介",A
D-2020_U48,4,2,今日の内容で、分かったこと・できたことを書いてください,非周期信号をフーリエ級数に当てはめる考え方について理解することができた。,A
D-2020_U48,4,3,今日の内容で、分からなかったこと・できなかったことを書いてください,T0を無限大に飛ばした時にωの総和が積分になるところまでは理解できたが、そこからどうフーリエ変換と逆フーリエ変換が導かれているのかが良く分からなかった。,A
D-2020_U48,4,4,質問があれば書いてください,特になし。,A
D-2020_U48,4,5,今日の授業の感想や反省を書いてください,難しかった。計算の仕方などは分かるが、それがどういう意味をもつのかいまいち掴めなかった。,A
D-2020_U48,5,1,今日の内容を自分なりの言葉で説明してみてください,"連続時間信号の周期Tごとの信号として抽出する「標本化」について。
また、標本化した離散時間信号はある条件のもと元の連続時間信号に戻せることを示す「標本化定理」について。",A
D-2020_U48,5,2,今日の内容で、分かったこと・できたことを書いてください,標本化定理が成り立つ理由について、なんとなくだが理解することができた。,A
D-2020_U48,5,3,今日の内容で、分からなかったこと・できなかったことを書いてください,逆に、標本化定理を完璧に理解するまでには至らなかった。,A
D-2020_U48,5,4,質問があれば書いてください,とくになし。,A
D-2020_U48,5,5,今日の授業の感想や反省を書いてください,2年後期で一回学んだが結局良く分からなかった標本化定理について、今回のスライドである程度理解することができてうれしかった。,A
D-2020_U48,6,1,今日の内容を自分なりの言葉で説明してみてください,離散時間信号を数列とみなす考え方やZ変換などについて。フーリエ変換では収束しない信号も複素数zを値によってはZ変換で収束するということ。,A
D-2020_U48,6,2,今日の内容で、分かったこと・できたことを書いてください,Z変換のメリット(フーリエ変換で収束しない信号を収束させられる)を知ることができた。,A
D-2020_U48,6,3,今日の内容で、分からなかったこと・できなかったことを書いてください,Z変換の収束領域がなぜ全部ある円の外側になるのかがいまいち分からなかった。,A
D-2020_U48,6,4,質問があれば書いてください,とくになし。,A
D-2020_U48,6,5,今日の授業の感想や反省を書いてください,"ラプラス変換についてあまり覚えていなかったので, 復習しなければいけないなと思った。",A
D-2020_U48,7,1,今日の内容を自分なりの言葉で説明してみてください,"Z変換の性質と逆Z変換の方法(べき級数展開法, 部分分数展開法)について",A
D-2020_U48,7,2,今日の内容で、分かったこと・できたことを書いてください,"Z変換の性質について, 証明も含めて理解することができた.
また, 部分分数展開法の手順を用いて実際に逆Z変換をすることができた.",A
D-2020_U48,7,3,今日の内容で、分からなかったこと・できなかったことを書いてください,特になし,A
D-2020_U48,7,4,質問があれば書いてください,特になし,A
D-2020_U48,7,5,今日の授業の感想や反省を書いてください,普段通り分かりやすかった,A
D-2020_U48,8,1,今日の内容を自分なりの言葉で説明してみてください,第5回と第6回の演習問題の解説と、知識マップを用いた課題の説明,A
D-2020_U48,8,2,今日の内容で、分かったこと・できたことを書いてください,特になし,A
D-2020_U48,8,3,今日の内容で、分からなかったこと・できなかったことを書いてください,時になし,A
D-2020_U48,8,4,質問があれば書いてください,特になし,A
D-2020_U48,8,5,今日の授業の感想や反省を書いてください,基本的に数式をいじくるのがメインのディジタル信号処理と数式が文字化けしてしまう知識マップは相性が非常に悪いと思った.,A
D-2020_U48,9,1,今日の内容を自分なりの言葉で説明してみてください,離散時間システムについての色々（インパルス応答、離散畳み込み和、伝達関数、差分方程式、、、etc.）,A
D-2020_U48,9,2,今日の内容で、分かったこと・できたことを書いてください,離散時間システムについて、線形時不変システムだと色々便利なことや、インパルス応答や差分方程式で簡単に表せることなどを学ぶことができた.,A
D-2020_U48,9,3,今日の内容で、分からなかったこと・できなかったことを書いてください,なぜ線形時不変システムは差分方程式の形で表すことができるのかが良く分からなかった.,A
D-2020_U48,9,4,質問があれば書いてください,特になし,A
D-2020_U48,9,5,今日の授業の感想や反省を書いてください,疲れてて授業を集中して聞けなかったので、次からはしっかり寝て疲れを取ってから授業に臨みたい,A
D-2020_U48,10,1,今日の内容を自分なりの言葉で説明してみてください,前回の続き。離散時間システムの基本要素について。また、システム関数、周波数特性について,A
D-2020_U48,10,2,今日の内容で、分かったこと・できたことを書いてください,スライドの内容は大体理解できた。,A
D-2020_U48,10,3,今日の内容で、分からなかったこと・できなかったことを書いてください,システム関数を定義して何が嬉しいのかがよく分からなかった。,A
D-2020_U48,10,4,質問があれば書いてください,特になし。,A
D-2020_U48,10,5,今日の授業の感想や反省を書いてください,前回の内容をよく覚えておらず、すぐ理解することができなかった。,A
D-2020_U48,11,1,今日の内容を自分なりの言葉で説明してみてください,離散時間フーリエ変換、離散フーリエ変換について。,A
D-2020_U48,11,2,今日の内容で、分かったこと・できたことを書いてください,離散時間フーリエ変換と離散フーリエ変換の大まかな雰囲気は理解することができた。,A
D-2020_U48,11,3,今日の内容で、分からなかったこと・できなかったことを書いてください,細かい部分まで理解することができなかった。離散時間フーリエ変換の性質の証明が一部分からなかったり、離散的な関数を変換すると周期的な関数になるのはなぜなのかが理解できなかったりした。,A
D-2020_U48,11,4,質問があれば書いてください,特になし。,A
D-2020_U48,11,5,今日の授業の感想や反省を書いてください,完全には理解できなかったので、時間が取れればじっくり勉強して理解できるようにしたい。,A
D-2020_U48,12,1,今日の内容を自分なりの言葉で説明してみてください,離散フーリエ変換を高速に行う方法について。,A
D-2020_U48,12,2,今日の内容で、分かったこと・できたことを書いてください,N=8のときの具体的な高速フーリエ変換のやり方については、理解することができた。,A
D-2020_U48,12,3,今日の内容で、分からなかったこと・できなかったことを書いてください,一般化した高速フーリエ変換については、いまいち分からなかった。,A
D-2020_U48,12,4,質問があれば書いてください,N=9など奇数のときはどのように高速フーリエ変換するのですか？,A
D-2020_U48,12,5,今日の授業の感想や反省を書いてください,高速フーリエ変換は手順が長く、難しかった。,A
D-2020_U48,13,1,今日の内容を自分なりの言葉で説明してみてください,"ディジタルフィルタについて
フィルタの種類とフィルタの設計法など",A
D-2020_U48,13,2,今日の内容で、分かったこと・できたことを書いてください,フィルタの作り方や窓関数の意味について理解することが出来た,A
D-2020_U48,13,3,今日の内容で、分からなかったこと・できなかったことを書いてください,なぜ無限インパルス応答が直線位相を実現することができないのかよく分からなかった,A
D-2020_U48,13,4,質問があれば書いてください,特になし,A
D-2020_U48,13,5,今日の授業の感想や反省を書いてください,ディジタル信号処理の実用的な部分に近づいた気がして楽しく学ぶ事が出来た,A
D-2020_U6,1,1,今日の内容を自分なりの言葉で説明してみてください,"アクティブラーニングする。
テストはないかも。
要点整理して提出。",A
D-2020_U6,1,2,今日の内容で、分かったこと・できたことを書いてください,自分で要点をまとめるの大事。,A
D-2020_U6,1,3,今日の内容で、分からなかったこと・できなかったことを書いてください,特になし。,A
D-2020_U6,1,4,質問があれば書いてください,特になし。,A
D-2020_U6,1,5,今日の授業の感想や反省を書いてください,"わかりやすかったです。
スムーズに接続出来たので、特に反省はないです。",A
D-2020_U6,2,1,今日の内容を自分なりの言葉で説明してみてください,"人間の五感など、世界には信号が満ち溢れており、A/D変換器により標本化、量子化、符号化することで劣化に強い・劣化しない・正確にコピーできる・コンピュータ処理できる・情報処理しやすい・DB化できるディジタル信号に変換できる。
また、ディジタルは標本化定理・アナログ低域フィルタなどのD/A変換器により復元できる。",A
D-2020_U6,2,2,今日の内容で、分かったこと・できたことを書いてください,ディジタル信号の利点、互換性,A
D-2020_U6,2,3,今日の内容で、分からなかったこと・できなかったことを書いてください,アナログ信号の利点(正確な情報であるという点以外で),A
D-2020_U6,2,4,質問があれば書いてください,特になし,A
D-2020_U6,2,5,今日の授業の感想や反省を書いてください,特になし,A
D-2020_U6,3,1,今日の内容を自分なりの言葉で説明してみてください,どんな周期関数も正弦波と余弦波の合成によって得られ、その手順としてフーリエ級数がある。周期信号のフーリエ級数の各正弦波の大きさを求めることができる。複素正弦波を使うと計算が楽になる。,A
D-2020_U6,3,2,今日の内容で、分かったこと・できたことを書いてください,フーリエ級数の具体的な計算方法が分かった。複素フーリエ級数の具体的な計算方法が分かった。,A
D-2020_U6,3,3,今日の内容で、分からなかったこと・できなかったことを書いてください,特になし。,A
D-2020_U6,3,4,質問があれば書いてください,特になし。,A
D-2020_U6,3,5,今日の授業の感想や反省を書いてください,よくわかりました。,A
D-2020_U6,4,1,今日の内容を自分なりの言葉で説明してみてください,フーリエ級数は周期関数に関するものであったが、非周期関数を周期∞の周期関数であると解釈することでフーリエ変換する。フーリエ変換された関数を元の関数に戻すことをフーリエ逆変換という。フーリエ変換には様々な性質があり、その性質を利用することで計算しやすくなることがある。単位インパルス関数、単位ステップ関数といった特殊な関数があり、フーリエ変換することでこれらの巻数が出てくる場合がある。,A
D-2020_U6,4,2,今日の内容で、分かったこと・できたことを書いてください,フーリエ変換、フーリエ逆変換の具体的な計算手順、またフーリエ変換表の使い方、フーリエ変換の性質を用いたフーリエ変換の手順,A
D-2020_U6,4,3,今日の内容で、分からなかったこと・できなかったことを書いてください,特になし,A
D-2020_U6,4,4,質問があれば書いてください,特になし,A
D-2020_U6,4,5,今日の授業の感想や反省を書いてください,よくわかりました。,A
D-2020_U6,5,1,今日の内容を自分なりの言葉で説明してみてください,サンプル値信号の定義、サンプリング周期の性質、標本化定理の定義と使い方、周波数スペクトルの定義とナイキスト周波数・ナイキスト間隔の求め方、復元の手順、標本化関数の定義、エイリアシングとその回避方法であるアンチエイリアスフィルタ,A
D-2020_U6,5,2,今日の内容で、分かったこと・できたことを書いてください,(1) の具体的な計算手順と実際の使い方,A
D-2020_U6,5,3,今日の内容で、分からなかったこと・できなかったことを書いてください,特になし,A
D-2020_U6,5,4,質問があれば書いてください,特になし,A
D-2020_U6,5,5,今日の授業の感想や反省を書いてください,よく分かりました,A
D-2020_U6,6,1,今日の内容を自分なりの言葉で説明してみてください,離散時間信号の定義、単位インパルス数列と単位ステップ数列の定義とそれらの関係、Z変換の定義、収束領域の定義、零点・極・次数の定義,A
D-2020_U6,6,2,今日の内容で、分かったこと・できたことを書いてください,離散時間信号の定義、単位インパルス数列と単位ステップ数列の定義とそれらの関係、Z変換の定義、収束領域の定義、零点・極・次数の定義,A
D-2020_U6,6,3,今日の内容で、分からなかったこと・できなかったことを書いてください,特になし,A
D-2020_U6,6,4,質問があれば書いてください,特になし,A
D-2020_U6,6,5,今日の授業の感想や反省を書いてください,よく分かった,A
D-2020_U6,7,1,今日の内容を自分なりの言葉で説明してみてください,"Z変換の性質,逆Ｚ変換の具体的な２つの方法",A
D-2020_U6,7,2,今日の内容で、分かったこと・できたことを書いてください,"Ｚ変換の性質には線形性,推移定理,指数数列の積,畳み込み定理などの性質がある.
また冪級数展開法と部分分数展開法の２種類の逆Ｚ変換の手順が分かった.",A
D-2020_U6,7,3,今日の内容で、分からなかったこと・できなかったことを書いてください,特になし.,A
D-2020_U6,7,4,質問があれば書いてください,特になし.,A
D-2020_U6,7,5,今日の授業の感想や反省を書いてください,特になし.,A
D-2020_U6,8,1,今日の内容を自分なりの言葉で説明してみてください,知識マップの作成の仕方,A
D-2020_U6,8,2,今日の内容で、分かったこと・できたことを書いてください,知識マップの作成の仕方,A
D-2020_U6,8,3,今日の内容で、分からなかったこと・できなかったことを書いてください,特になし,A
D-2020_U6,8,4,質問があれば書いてください,特になし,A
D-2020_U6,8,5,今日の授業の感想や反省を書いてください,よく分かりました,A
D-2020_U6,9,1,今日の内容を自分なりの言葉で説明してみてください,離散時間システム、インパルス応答、離散畳み込み和、接続関係、伝達関数、差分方程式,A
D-2020_U6,9,2,今日の内容で、分かったこと・できたことを書いてください,離散時間システム、インパルス応答、離散畳み込み和、接続関係、伝達関数、差分方程式,A
D-2020_U6,9,3,今日の内容で、分からなかったこと・できなかったことを書いてください,特になし,A
D-2020_U6,9,4,質問があれば書いてください,特になし,A
D-2020_U6,9,5,今日の授業の感想や反省を書いてください,特になし,A
D-2020_U6,10,1,今日の内容を自分なりの言葉で説明してみてください,"加算器、乗算器、遅延器を用いて伝達関数を表現する
システム関数
振幅応答
位相応答",A
D-2020_U6,10,2,今日の内容で、分かったこと・できたことを書いてください,加算器、乗算器、遅延機、システム関数、振幅応答、位相応答の計算,A
D-2020_U6,10,3,今日の内容で、分からなかったこと・できなかったことを書いてください,特になし,A
D-2020_U6,10,4,質問があれば書いてください,特になし,A
D-2020_U6,10,5,今日の授業の感想や反省を書いてください,よく分かった,A
D-2020_U6,11,1,今日の内容を自分なりの言葉で説明してみてください,フーリエ変換、離散時間フーリエ変換とその性質、離散フーリエ変換とその性質,A
D-2020_U6,11,2,今日の内容で、分かったこと・できたことを書いてください,フーリエ変換、離散時間フーリエ変換とその性質、離散フーリエ変換とその性質,A
D-2020_U6,11,3,今日の内容で、分からなかったこと・できなかったことを書いてください,特になし,A
D-2020_U6,11,4,質問があれば書いてください,特になし,A
D-2020_U6,11,5,今日の授業の感想や反省を書いてください,よくわかりました,A
D-2020_U6,12,1,今日の内容を自分なりの言葉で説明してみてください,離散フーリエ変換、周波数間引き型高速フーリエ変換、時間間引き型高速フーリエ変換,A
D-2020_U6,12,2,今日の内容で、分かったこと・できたことを書いてください,行列を用いた離散フーリエ変換、周波数間引き型高速フーリエ変換、時間間引き型高速フーリエ変換の具体的な計算手順,A
D-2020_U6,12,3,今日の内容で、分からなかったこと・できなかったことを書いてください,特になし,A
D-2020_U6,12,4,質問があれば書いてください,特になし,A
D-2020_U6,12,5,今日の授業の感想や反省を書いてください,よくわかりました。,A
D-2020_U6,13,1,今日の内容を自分なりの言葉で説明してみてください,フィルタの定義、振幅特性、フィルタの種類、ディジタルフィルタのタイプ、直線位相、FIRフィルタの設計、ギブス現象,A
D-2020_U6,13,2,今日の内容で、分かったこと・できたことを書いてください,フィルタの定義、振幅特性、フィルタの種類、ディジタルフィルタのタイプ、直線位相、FIRフィルタの設計、ギブス現象,A
D-2020_U6,13,3,今日の内容で、分からなかったこと・できなかったことを書いてください,特になし,A
D-2020_U6,13,4,質問があれば書いてください,特になし,A
D-2020_U6,13,5,今日の授業の感想や反省を書いてください,よくわかりました,A
D-2020_U38,1,1,今日の内容を自分なりの言葉で説明してみてください,"今回はオリエンテーション。
行ったこととしては、授業の全体像や進め方などの説明。
次回から本格的に授業が始まるようだ。
",B
D-2020_U38,1,2,今日の内容で、分かったこと・できたことを書いてください,"・授業の進め方
・授業を進める上でやるべきこと
　（振り返り日誌、授業ノート作成＆投稿、授業要点整理＆投稿、演習課題）",B
D-2020_U38,1,3,今日の内容で、分からなかったこと・できなかったことを書いてください,特になし,B
D-2020_U38,1,5,今日の授業の感想や反省を書いてください,"教授から優しそうな雰囲気を感じ、安心しました。
授業を進める上で様々な取り組みを準備されていて、理解の助けになりそうです。",B
D-2020_U38,2,1,今日の内容を自分なりの言葉で説明してみてください,"ディジタル信号処理の概要。
信号の分類とその処理について、特に信号変換の過程を学びました。",B
D-2020_U38,2,2,今日の内容で、分かったこと・できたことを書いてください,標本化定理の内容を理解しました。アナログ信号がサンプリング周波数の1/2の値を超えない限りは完全に復元出来るということらしい。,B
D-2020_U38,2,3,今日の内容で、分からなかったこと・できなかったことを書いてください,"予習が足りず、授業の内容を理解するのに時間がかかりました。
",B
D-2020_U38,2,5,今日の授業の感想や反省を書いてください,"授業に参加するのが遅れてしまい、途中からの参加となってしまった。
朝寝過ぎてしまうことの無いように気をつけていきたい。",B
D-2020_U38,3,1,今日の内容を自分なりの言葉で説明してみてください,すべての周期信号はフーリエ級数で表現出来る,B
D-2020_U38,3,2,今日の内容で、分かったこと・できたことを書いてください,周期信号をフーリエ級数表現した式（フーリエ係数も含む）、さらに複素フーリエ級数による表現の方法,B
D-2020_U38,3,3,今日の内容で、分からなかったこと・できなかったことを書いてください,スペクトルの考え方を何に使うのかよく分かりませんでした。,B
D-2020_U38,3,5,今日の授業の感想や反省を書いてください,予習を怠ってしまった。次回はしっかりと予習をして臨むことにしよう。,B
D-2020_U38,4,1,今日の内容を自分なりの言葉で説明してみてください,非周期関数もフーリエ変換することが出来る。また、フーリエ変換と対になる逆フーリエ変換なるものが存在する,B
D-2020_U38,4,2,今日の内容で、分かったこと・できたことを書いてください,非周期関数のフーリエ変換と逆フーリエ変換の式の導き方,B
D-2020_U38,4,3,今日の内容で、分からなかったこと・できなかったことを書いてください,フーリエ変換の性質の一つ一つが、なぜ成り立つのか,B
D-2020_U38,4,5,今日の授業の感想や反省を書いてください,今日は短いながらも内容は多かった。自分で調べ学習できるかどうかが試されている気がします。,B
D-2020_U38,5,1,今日の内容を自分なりの言葉で説明してみてください,サンプリング（標本化）と、それを復号する際に用いられるサンプリング（標本化）定理について。,B
D-2020_U38,5,2,今日の内容で、分かったこと・できたことを書いてください,"　連続時間信号をサンプリングすることで離散時間信号を得られる。
　もとの信号の最大周波数の2倍以上の周波数でサンプリングすれば、サンプル値信号から元の信号に完全に復号できる。
　サンプリング定理の条件を満たさなかった場合、エイリアシングという現象が起こる。それを防ぐためにアンチエイリアスフィルタを用いられる。
",B
D-2020_U38,5,3,今日の内容で、分からなかったこと・できなかったことを書いてください,特に無いです。,B
D-2020_U38,5,5,今日の授業の感想や反省を書いてください,今回はよく理解できた。次回も頑張りたい。,B
D-2020_U38,6,1,今日の内容を自分なりの言葉で説明してみてください,離散時間信号のZ変換,B
D-2020_U38,6,2,今日の内容で、分かったこと・できたことを書いてください,Z変換の公式、Z変換の収束領域,B
D-2020_U38,6,3,今日の内容で、分からなかったこと・できなかったことを書いてください,Z変換については理解できたが、なぜZ変換をするのかよく分からなかった。,B
D-2020_U38,6,5,今日の授業の感想や反省を書いてください,ただ式のみを理解して使えるだけでなく、なぜ使えるのか・これを利用することでどのような利点があるのかなど、その背景までも知ることに努めていこうと思う。,B
D-2020_U38,7,1,今日の内容を自分なりの言葉で説明してみてください,"〇Z変換の性質（線形性・推移定理・指数数列の積に関して・畳み込み定理）
〇逆Z変換の概要
　2つの解法（べき級数展開法、部分分数展開法）",B
D-2020_U38,7,2,今日の内容で、分かったこと・できたことを書いてください,"逆Z変換の2つの解法（べき級数展開法、部分分数展開法）を用いて、逆Z変換をすることができた。
",B
D-2020_U38,7,3,今日の内容で、分からなかったこと・できなかったことを書いてください,特にないです。,B
D-2020_U38,7,5,今日の授業の感想や反省を書いてください,逆Ｚ変換は思ったよりも簡単だった。,B
D-2020_U38,8,1,今日の内容を自分なりの言葉で説明してみてください,BR-Mapの説明,B
D-2020_U38,8,2,今日の内容で、分かったこと・できたことを書いてください,BR-Mapの使い方を理解しました。,B
D-2020_U38,8,3,今日の内容で、分からなかったこと・できなかったことを書いてください,特にないです。,B
