userid,今日の内容で、分かったこと・できたことを書いてください,今日の内容で、分からなかったこと・できなかったことを書いてください,今日の内容を自分なりの言葉で説明してみてください,今日の授業の感想や反省を書いてください,質問があれば書いてください
C-2021-1_U14,,特にありません,,,
C-2021-1_U15,AIの仕組みの理解が深まった,,,人工知能に前よりも興味を持てた,
C-2021-1_U18,人工知能には特化型人工知能と汎用型人工知能がある。,汎用型人工知能はどのように実用化されていくのか。,,,
C-2021-1_U2,,,AIには特化型AIと汎用AIがあるが、特化型AIが現在主流のAIであり、情報をシェアやリコメンドをするなど日常で活用されている。また、深層ニューラルネットワークや大規模なデータ、コンピュータのパワーアップによりAIが向上している。,,
C-2021-1_U20,AIが人間の知能を追い越すなどと言われているが、AIは現在特定型のものしか実用化されていないうえ、依然として人間の常識的な判断とは異なる判断をすることがおおく、人間の知能レベルに達するにはまだまだ時間を要するということが分かった。,,,AIの機能はもっと人間の知能に近づいているものだと思っていたので今日の授業でまだその段階に達していないと知り、驚いたと同時に少しほっとした。,
C-2021-1_U23,"AIの定義や特徴、活用方法、問題点を理解できた。機械学習の基本となる考え方は、初めて知った。
BR-Mapの使い方がわかった。",全部理解できた。,人工知能とは、人の知能を真似する機械である。現在利用されている全てのAIは特化型AIで、特定のことしかすることができないが、強いAIといわれる汎用AIも検討されてきている。AI等を活用した、シェアリングエコノミー、リコメンド、サーベイランス、デジタルトランスフォーメーションなどのビジネスが発達してきている。コンピュータが予測、認識・分類、生成を行うことができるようになるためには機械学習が必要になる。機械学習では、十分な量のさまざまなデータを用いて、関数を適切な形に持っていく。深層ニュートラルネットワークは、さまざまな課題に利用できる。調整の自由度が高いため複雑な問題に対応できること、最近、非常に大規模なデータが手に入るようになったこと、コンピュータがパワーアップしたことにより深層ニューラルネットワークが深まりAIは最近劇的に性能が向上している。無料で誰でもAI関係の開発・研究ができる、オープン戦略もその背景にあった。しかし、今のAIは万能というわけではなく、正しく動けない条件が存在する。人間が起こさないような誤りを起こす、特定の範囲のことしか考えが及ばない、判断根拠を見出しにくいなどの問題もある。,,将来、汎用AIが実現されることはあるのでしょうか。
C-2021-1_U24,AIといっても、弱いAI、特化型AIしか実現できていないという現状を知ることができた。機械学習の必要性がわかった。,深層ニューラルネットワークの仕組みや貢献度合いがよくわからなかった。,人工知能について、身近なものや、ビジネスにおける活用例などに注目しながら学んだ。,フレーム問題にに関しては私も回避できないことがよくあるので、AIに親近感を抱きました。AIが人間に取って代わるのはまだ先の話ですが、AIが機械学習をするように、人間もAIでは再現できないような能力を磨いていく必要があると思います。AIと人間が苦手分野を補い合って、豊かな暮らしができればいいなと思いました。,
C-2021-1_U25,AIは最初から賢いわけではない、たくさんの例を元に学習していくこと,,AIとはどんなものなのか、仕組み、現状と今後どうなっていくのか,,
C-2021-1_U26,AIについて学んだ。AIには主に強いAIと弱いAIがある。強いAIは人間の脳のように考えることができる。弱いAIはある分野に特化した特化型で与えられた一つの仕事しかできない。現在私たちの身の回りにあるAIは弱いAIである。AIはデータを利用して推測し、推薦する。仕事・作業を効率化する。関数を使ってデータから答えを導く。正しい答えを得るためのパラメータをいじって関数を正しい形にする。パラメータをかけたり、足したりするためには膨大なデータが必要である。インターネットの普及やビッグデータの登場でパラメータに必要なデータを獲得できるようになった。さらに、オープンソースやオープンデータのおかげで誰でも無料でデータを共有できるようになったので、いっそうデータ量が豊かになった。,,,人より優れた機械の存在はしごとをこなすうえでは素晴らしいことだと思うけど、そのせいで職場環境を奪われてしまう人々が出てしまうなどの心配もあって、AIの使い方には注意が必要だなと思った。,
C-2021-1_U27,"●弱いAIと呼ばれるものと強いAIとよばれるものがあること
●今利用されているAIは特定のことしかできないということ

",●ｐ42の内容がよくわからなかった,"●特化型AI…特定の知能だけを人工的に実現したAI（＝特定のことしかできないということ）
◎現在利用されているAIは「全て」このAI
◎このAIは「弱いAI」とも呼ばれる（cf.　中国語の部屋）
●汎用AI…我々の知能と同じ柔軟さを持つ「強いAI」
●推薦・広告配信…ネットでの購入履歴などから私たちが興味を持ちそうな情報を提供
●シェアリングエコノミー…インターネットを介して個人間で賃借や売買や提供をする、新しい経済の動き
◎ここでもAIが活用されている（p22）
●デジタルトランスフォーメーション…AIを使って仕事を効率化させる
●機械学習…AIを調整して賢くしていくこと。データによって関数y=f(x)
◎機械学習によって「予測」「認識・分類」「生成」が可能になる
●最新のAIの正体…深層ニューラルネットワーク
●深層ニューラルネットワーク…最近主流のAIで、様々な課題に利用できる
●現在のAIは全く万能でない
◎実現できているのは「特化型AI」
◎十分なデータがなければ正しく動かない
",AIは万能だと思い込んでいたが、強いAIとは何かということすら定義できていないことに驚いた。AIによって事務仕事などは人間の職業でなくなっていっていて、働き口が減っていくとよく言われているので、将来はAIにできないような仕事をしたいと思った。,
C-2021-1_U28,,,人工知能とは何か、そして身の周りで活用される例,,
C-2021-1_U29,,,人工知能とは何か、AIを活用したビジネス、機械学習とは何か、今のAIにはできないことについて学習した。,現在AIの技術は非常に発展していて、数十年五医は愛にとって変わられるような仕事もたくさんあると聞きます。今回の講義でAIにもできないことがあるとわかったので、私は将来AIにはできないような技術や考えを持った社会人になりたいとおもいました。,
C-2021-1_U3,機械学習は、入力に対して出力するという関数のモデルを最適化することで、関数のモデルのパラメータを学習で調整してより良い関数に近づけていることがわかった。その最適化には十分なデータによる学習が必要で、データが不十分なことに対して特化型AIはうまく行かないことがわかった。,,現在利用されているのは特化型AIであり、特定の目的に絞ったことしかできない弱いAIである。特化型AIは、機械学習を通して入力に対して結果を出力する予測、認識・分類、生成ということができる。特化型AIもその分野に特化したとしても万能というわけではなく、敵対事例、フレーム問題、判断根拠が不明確という課題もある。,,
C-2021-1_U30,人工知能は思っている以上に万能ではないこと、人工知能を利用したビジネスの詳細,オープン戦略のあたりがまだ曖昧です,,人間の脳がいかに優れているかを実感しました。また、顧客監視のような人工知能を使ったビジネスの中にも知らないものがあったので、新しい知識を身に着けることができてよかったです。,
C-2021-1_U31,,,人工知能は現在のところはほとんどが弱いAIであり、強いAIについてはまだ定義もはっきりしていない状況である。汎用AIを作るために人間の脳の構造を再現したものを作っている。,機械学習の方法など概要だけでも知れてよかった。,
C-2021-1_U32,,,特定のことしかできないAIを特化型AIといい、現在利用されているのは全てがこれである。これは一般的に「弱いAI」とも呼ばれる。私たちの身の回りにはAIが溢れており、機械学習を使って様々なビジネスにも利用されてきているが、関数であるAIは様々な理由から全く万能ではない。,特化型AIが万能ではない根拠として三つ挙げられていたが、とても分かりやすく、特にフレーム問題に関してはAIの恐ろしさが伝わった。AIは近年の最も重要な題材の一つなので、他のことについても調べてみようと思う。,「人間の活動は近い未来に全てがコンピュータに取って代わられる」とよく聞くが、今回の講義を聞いて本当なのか？と疑問に思った。AIが人間を超えて動ける日が来るのはとても遠いのではないかと思う。
C-2021-1_U33,AIは例を用意するとこで学習するのでデータが少ないと十分に学習することができなくて性能が出せない。,,"人工知能について
特定の機能だけを人工的に実現したAIを特化が特化型AIという。例えば画像認識や天気予報などがある。
私たちの知能と同じ柔軟さと多機能性をもつAIを汎用AIという。",,
C-2021-1_U34,,,,,ありません。
C-2021-1_U35,機械学習などがどのように起こっているか、そのメカニズムについて分かりました。,,我々の身の回りで、例えば顔・画像認証などの人工知能が活用されていることを学習しました。続いて、閲覧履歴や行動把握などをビジネスに活用する例について学習しました。また、機械学習のシステムを確認しました。最後に現段階ではAIにはできないことについて学びました。,,
C-2021-1_U36,,,"・BRマップの作り方
・人工知能とは
・身の回りの人工知能
・AIを活用したビジネス
・機械学習とは
・最近のAI
・AIの問題点","近頃AIが人間を超えるというシンギュラリティのような言葉も出回っていますが、今日の講義内容を考えると実はまだシンギュラリティへの道は遠そうで驚きました。今後より人間に近いAIがつくられていくと思いますが、怖いような楽しみなような複雑な気持ちです。
BRマップはいかにうまくマーカーを引いていくかが重要だと感じました。矢印を引っ張って関連付けが容易なこと、マップというだけあって配置が自由なところがありがたいです。うまく使っていきたいです。",とくにありません
C-2021-1_U37,,,現在の人工知能にできること、できないこと,,
C-2021-1_U38,,,そもそもAIとは何か、何をしているのか、何ができるのか。深層ニューラルネットワークとは。機械学習について。,パスワードを設定する際に「私はロボットではありません」という確認で変な書体の文字を打たせる時があり、こんなことでロボットでない確認ができるのかと感じていたが、今回の授業で扱った敵対的事例の存在から、非常に有効だということが分かった。,
C-2021-1_U39,,,,皮膚がんの判定のときに人間よりAIの方が優れているというグラフを見て、AIに負けない人材になりたいと思いました。,
C-2021-1_U40,強いAIは人間のネガティブなイメージで、実際には弱いAIが大半だということ。,,AIには強いAIと弱いAIとがあるが、強いAIは構想中でまだ実際に使われてはいない。実際に使われているAIはすべて弱いAIであり、特化型AIはデータを膨大に必要とし、習っていないものについては融通が利かず特定の範囲のことにしか考えが及ばない。そして深層ニューラルネットの判断根拠を見出すのが難しい。,AIは人間を超越する賢いというイメージが強かったがそれが変わった。もっとAIの弱さに目をつけたい。,
C-2021-1_U41,,,現時点のAIには様々な問題点や弱点がある。,,
C-2021-1_U42,,,,自分が思っていたより現在のAIは万能ではないということに驚いた。,
C-2021-1_U43,,,,AIはなんでもできると思っていたがこの授業を通して万能ではないのだと知った。機会は人間のように多くを考えるのではなく特定のことにしか考えが及ばないのだと学び、今後AIが発展していくにつれて「考えられるAI」が誕生するのではないかという期待が芽生えた。,
C-2021-1_U44,"AIの発展と実用化、身の回りのAIの使用
AIの欠点、AIにできないこと。",,,近年、AIの発展が著しく、私たちはAIに無意識に頼りながら生活していることを実感した。しかし、まだまだAIには欠点があり、AIだけですべてを補うことは難しいということがわかった。,
C-2021-1_U45,現在のAIの課題などは理解できました。,大体理解できました。,"AIには強いAIと弱いAIがあり、現在利用されているのは全て弱いAIである。
これは特定の能力しか持たず、専門外のことは何もできない。
AIとは関数である。","AIはよく聞きますが
まだ知らないことがたくさんあるなと思いました。
これからどんどん身近な存在になっていくと思うので、しっかり学びたいです。",
C-2021-1_U46,"BRマップの使い方が分かった。機械学習はいろんなデータがたくさんないと,学習しても性能が出せないことが分かった。",,シェアリングエコノミーやリコメンド、サーベイランス、DXなどAIを活用したビジネスがある。,人工知能は自分たちにとって割と身近なものなので、それについて知れて良かった。,
C-2021-1_U47,AIは何らかの情報を伝えるとそれに対しての答えを出す関数と同等なものだと分かった。,深層ニューラルネットワークの動い方があまりわからなかった。,AIは人間よりも有能に働く場面はあるが、情報でーやが多くないとその能力が発揮できず、まだまだ改善の余地がある。,AIに人間の仕事が奪われるなどという文言が世の中でちらついているが、今日の授業を聞いて現在のAIの汎用性は十分ではなく特化型AI以下実現されていないのでまだまだ人間はAIよりも優秀であり、なくてはならないものだと思いました。,
C-2021-1_U49,"・AI　　人間の知能を真似する機械
・強いAI   深層ネットワーク
・凡庸AI　特化型AI
・ビジネス　シェアリングエコノミー、リコメンド、サーベイランス、デジタルトランスフォーメーション
・機械学習　生成、予測、認識・分類",,"・AI　　人間の知能を真似する機械
・強いAI   深層ネットワーク
・凡庸AI　特化型AI
・ビジネス　シェアリングエコノミー、リコメンド、サーベイランス、デジタルトランスフォーメーション
・機械学習　生成、予測、認識・分類",案外AIの成長過程は人間の知能と変わらないもので拍子抜けした,
C-2021-1_U51,"AIはある特定の分野において特化しているだけで、あらゆる分野には対応できないことが分かりました。
しかし、その特定の分野においてのAIは著しく進化していっていることも分かりました。",AIの、人間の検索履歴を用いた推測機能において、あらゆる分野の検索をしている人間に対する推測の仕方、またはその人に対して推奨するものはどのように決めているのか、少し気になりました。,BR-Mapの作成・AI（人工知能）の特徴やどんな種類の役割をなすものがあるのかを学びました。,授業を終えて、AIの賢さに改めて感心しました。特に、LINEBotを用いてAIによって自動受付が可能になったのは目覚ましい進歩だなと思いました。ただ人間が受付を対処しないため、誤りや心配すべき点はまだ絶対にあると思いますが、人件費の削減につなげることができ、その分他のことに使用できると思うと、とても便利な機能を開発したなと感じました。,
C-2021-1_U52,構造化データと非構造化データ、量的データと質的データなどデータには様々な分類方法があるということ,わからなかったことはなかったがデータの分類をいまいち覚えることができなかった,データの種類の分類について,上にも書いたがデータの分類は理解できるが覚えるのが難しそうだと感じた,
C-2021-1_U53,いままでに習ったり、知っていたことも多くありましたが深層ニュートラルネットワークやデシタルトランスフォーメーションなど知らない言葉も多く出てきましたが、多くのことがわかりました。,ロボットは東大に入れるか？という記事を見てこれどうやって判断されているのかとか仕組みが面白いけど、難しいなと感じました。,AIについて現在利用されているのは特化型AIといって特定のことしかできないAIがほとんどを占めており、天気予報も将棋もゲームも会話もできるAIはまだ存在していない。また特化型AIには敵対的事例、フレーム問題、判断根拠が不明であるなどの多くの問題が存在しているため、それらの改善が必要とされると感じる。,今日は自分の身近にも多く感じられるAIの話でした。AIについては高校の授業でも何度か学んだことがあったので比較的理解しやすかったです。,
C-2021-1_U54,AIに対する印象として、近年はAIが急速に発展しており、AIが人間にとってかわる時代がくるというようなことを思っていた。しかし、現在のAIは一つのことに特化したものばかりで、多くの課題が存在しているということを知った。また、現在あるAIは関数のようなものであり、大量のデータを用いて学習させることで入力に対して出力ができるように作られているということがわかった。,深層ニューラルネットワークについては大雑把にどのようなものなのかが分かっただけであり、実態に関してはわからないことばかりである。,,,
C-2021-1_U55,,,"AIと機械学習について学んだ
AIとは人間を真似する機械で特化型AIはすでに様々な場所で利用されている。
機械学習とは多くのデータから経験則的に機械に学ばせる。","既に知っている内容が多かった。

自分がAIのすごさについて身近で感じた経験
ZENONZARDというスマホ向けカードゲームアプリがあるのですが、このゲームはAIとチームを組み二人三脚でゲームを進めます。
このゲームの凄いところはこのAIがプレイヤーから学ぶことです。例えば攻撃的なプレイヤーとペアになってるAIは攻撃的な戦略を取るようになるし、逆に保守的な作戦をとるプレイヤーとペアのAIは保守的になります。
デッキタイプによってはAIの方が人間より良い戦績を残したり、プレイングもかなり人間的でした。
トレーディングカードゲームはカードの枚数に対して指数関数的にカードの組み合わせがあり、それだけプレイングに幅があるのでAIってすごいなと思える経験でした。
将棋AIの研究者がこのゲームの開発に関わっていたそうです。既にサービスの終了したゲームですがもしご興味があれば少し調べてみてください。",
C-2021-1_U56,,深層ニュートラルネットワークの仕組みについてもう少し理解したいと思った。,,"AIという言葉は近年よく耳にするがAIの特徴や欠点について具体的には知らなかったため、AIにはまだ多くの課題が残っているということが分かりとてもためになった。
",
C-2021-1_U58,最近のaiが急速に発展した背景に深層ニューラルネットワークが関わっていることを初めて知った。それは、パラメータを用いて複雑に足したり掛けたりして計算していることを理解した。,,,私自身、atama+というaiを使った教材で勉強をしたことがあるので、その仕組みを考えることができて面白いと思った。,
C-2021-1_U59,,特にありません,人間の知能を真似する機械のことを人工知能という。人工知能はいろいろな形で身の回りに利用されていて、AIを活用したビジネスもおこなわれている。,最近はあたりまえになってきたAIというものについて詳しく知れて興味深かったです。AIは万能だと思っていたので、今使われている特化型AIですら万能ではないと知り驚きました。教師なし、ありの機械学習の話が面白かったです。,特にありません
C-2021-1_U60,"現在の人工知能は全て特定のことしかできない（人間の脳のようなマルチタスクさはない）。人工知能には「強い人工知能」と「弱い人工知能」が存在。人工知能はすでに生活の様々なところで活かされている。

機械学習は予測→認識・分類→生成という流れで成り立つ。人工知能は要はパラメーター付き関数のようなもの。機会学習によってパラメーターの調整を行なっている。

人工知能は特定のことしかできない。十分なデータがなければ正しく動かない。他にも様々な問題がある。",,,勉強になった。,
C-2021-1_U61,,深層ニューラルネットワークの部分で、入力データに対して様々な数をかけたり足したりした結果ある一つの答えに辿り着くのがどういうことかよくわからなかった。,"人工知能（AI）とは人間の知能を真似する機械である。だが人間を全て真似することは不可能だから、特定のことだけできるAIが作られている。
汎用AIとは人間と同じ多機能性を持つものである。Siriやチャットボットなども人工知能である。
AIは学習させてより賢くなる。","br -Mapを使うことで今までの授業の内容のつながりがより理解できると思うから、積極的に使いたい。
AIは結構進化していろんなことができると思っていたが、特定の分野だけに特化しているのだと知った。
クイズや囲碁将棋などで人間よりも強いAIがいるのはすごいけど、いつか完全に人間よりも強いものが出てきそうでちょっと怖いなと思った。
",
C-2021-1_U62,人間の脳がどれだけ複雑な動きをしているのかAIと対比してよくわかった。,特定のノイズでAIが騙されるのは不思議に感じた。,,AIについてもっと知りたくなった。,
C-2021-1_U63,AIの機械学習について、初めて見た情報の処理の正確さを得るためには機械学習においてのデータの量だけが必要なのではく、質も大事なのだということが例を通してわかった。深層ニューラルネットワークも今では当たり前に出来ていることなのかもしれないが、オープンソースやオープンデータがたくさん公開されている現代だからこそ出来る技だということが知りました。,,人工知能とは人間の知能を真似する機械であり、人間の機能の中でも一つだけの知能を特化させたものを特化型AI、我々と同様の多機能性と柔軟性を持つ機械を汎用AIといい、それぞれ弱いAI、強いAIと呼ばれている。人工知能は顔認識や画像認識、医療診断、推薦広告配信など身近なところで活躍しており、またコンピュータ将棋や東大に合格できるような知能を持つ東ロボくんなども世界で活躍する。AIを活かしたビジネスとしてインターネット上のプラットフォームを介してシェアするシェアリングエコノミー、買ってくれそうな商品の推薦、防犯や異常検知や顧客の行動の把握に役立つ顧客監視、AIを含む情報処理技術により組織の効率を向上させることを指すデジタルトランスフォーメーションなどが挙げられ、新しい経済を動かす要因となっている。AIは人間と同じような「学習」を行うことで初めて見た情報も正しく処理することが出来る仕組みをとっている。最近のAIは深層ニューラルネットワークという仕組みを使い、膨大なパラメータの演算を繰り返すことでより正確な情報の処理を可能にしている。,漠然とAIという言葉と意味を知っていたが詳しく知ることができ、仕組みも理解できたことがためになった。またデータの大量処理が可能になったという前回の内容から今回のAIの深層ニューラルネットワークという現在研究真っ最中なことに繋がっていて内容をつなげる事ができたのが自分の中でとても良かった。,
C-2021-1_U64,なぜAIの進化が目まぐるしいのかがよくわかった。,,特化型AIと機械学習について。,特化型AIの進化に驚いた。他のもの(ゲームなど)においても、これから理論が確立していくのかと思うと面白いと感じた。,
C-2021-1_U65,AIの特徴を学ぶことができ、理解が深まった。,,,生活に多く存在するAIについて理解を深めるいい機会になった。,
C-2021-1_U66,AIの学びの正体と問題点について把握できました。,,AIの実情と学習について,,
C-2021-1_U68,"弱いAIと強いAIがいる。十分な情報がなければうまく機能しない場合がある。膨大な情報を記憶し、学習させることでAIは判断を行う。人間と違い、余分な情報に左右されて判断を謝ることもある。
強いAIは現在研究段階にある。",,,色んな知識を持っていたり、色んなことができるように思えるAIでも、特化型AIの組み合わせであって強いAIではないということに驚いた。,
C-2021-1_U69,,皮膚がんの良性か悪性か、の違いが全く分からなかった。画像だけでAIが判定できるのはすごいと思う。,現在使われているAIは特定の知能だけを実現した特化型AIで、特化型AIに本当に知能があると言い切れないので、弱いAIとも呼ばれる。汎用AI=強いAIを作るために全脳シミュレーションなどが行われる。身近な人工知能にはSiriやチャットボットや顔認識や画像認識、医療診断などがある。クイズ、将棋、囲碁などの分野ではAIが人類を上回っている。シェアリングエコノミーやリコメンド、サーベイランス、DXなどAIを利用したビジネスもある。機械学習により未知の入力にも対応できるようになり、予測、認識・分類、生成ができるようになる。大量のデータを用いた深層学習により高性能なAIが実現した。現在のAIはデータ不足、敵対的存在、想定外の事象等に弱く、判断根拠が不明瞭という課題もある。,AIについて学習することで改めて人間の脳の柔軟さや万能さを感じることができた。完全に人類を超えたAIの出現は不安だけど楽しみにもなった。,特にありません
C-2021-1_U7,,深層ニューラルネットワークの説明で、数字をかけたり足したりする、というのがどういう計算なのか分からなかった。,現在実用化されているAIは特化型AIであり、弱いAIと言われる。強いAIである、汎用AIはまだ実用段階に至っていない。十分なデータがなければ正しく動かないし、敵対的事例、フレーム問題や半田院根拠が不明確なことなどの問題もある。しかしAIは現在身の回りやビジネスに多く活用されている。,AIが万能ではないというのは意外だった。いま読んでる本に人間のような体はないものの人間のように振る舞うことができるAIが登場しているが、現代ではかなり難しいのだとわかって少しがっかりした。,
C-2021-1_U71,AIがどのように判断をしているのかという雰囲気を理解できた,特にありません,"特化型AIと呼ばれるAIが各分野において活躍している. 
AIはたくさんのデータを元に入力に対して出力を与えている. 
AIは万能ではなく, フレーム問題や根拠不明といった欠点を持っている. ",大変面白い内容でした. ありがとうございました. ,
C-2021-1_U72,,,AI（人工知能）について　人工知能は完全であるように思えるが、そうではない。　将棋などに力を入れる特化型AIなどが存在し、人間をも超越する力を持ちつつある。しかし、そのAIに他の分野をやらせるとボロボロである。,楽しかったです,
C-2021-1_U73,,,,いつか人工知能が人間を超え、制御できなくなり、人間が人工知能に振り回される時代が来るのかと思っていたけれど、人工知能にも様々な欠点があり、そのようなことは到底起こらないのではないかと考えるようになりました。,
C-2021-1_U74,現在の AIの活用例、課題を理解する事ができた。,,,思ってたより現在のAIには課題が残っているんだなと思った。,
C-2021-1_U76,AIには特化型AIと汎用型AIがあり、私たちがAIと呼んでいるのは特化型AIであり、全く万能ではないということ。,中国語の部屋の例が少し理解しにくかった。,"人工知能（AI）AI等を活用したビジネス、機械学習について
",AIが私たちの身の回りでよく活用されていて、医療診断もできるようになっていることは驚いた。,
C-2021-1_U77,AIが人間の仕事を奪う一方で、新たな仕事を生み出している側面もあることがわかった。,深層学習がよくわからなかった。,AIについて入門的な概要を学習した。,（３）で述べたように、深層学習が理解できなかったのでよく復讐したい。,特にありません。
C-2021-1_U78,,,今現在の様々な種類のAIについてとその用途,,
C-2021-1_U79,AIが現在できること、できないことが明確になった。AIが学習することでどのように変わっていくのかがわかった。AIも学習する方法や結果などは人間と対して変わらないとわかった。,AIの深層ニューラルネットワークが少し難しかった。掛け算や足し算によって出た数値からどのように判断しているのかがあまりわからなかった。,,以前将棋に特化したAIが人間に勝ったというニュースを見てAIはなんでもできるものだと小さい頃に思った記憶があるが、今回の授業を経てAIにもできないことがまだまだたくさんあると知った。また、汎用型AIを研究している際に人の脳を再現しようとしていて、将来的には人間とあまり変わらないものを作るのではないかという話を聞いてクローンのようだと感じた。もちろん無機物からできてはいるが感情などを持ち始めたら倫理的に忌避感を感じる人も出るのではないかと思った。,
C-2021-1_U8,,,,前半部分を聞き漏らしてしまった。復習します。,
C-2021-1_U82,"・AIは人間の知能を真似する機械・AIが色々な機能を持つことは難しく一つの機能に特化した特化型AIが生まれた・身近なところにAIはある（Siri、チャットボット、顔認識など）・医療現場ではAIを用いることによって誤診断を減らそうとしている・AIの予測や需要と供給から価格の自動決定を行うなどの技術を用いてビジネスを進めている・AIの学習にはたくさんの例が必要
",,"AIについて
AIの利用のされ方の例
機械学習について",AIはとても高性能というイメージがあったが特定の分野にしか対応できなかったり、学習の時に融通が効かないなどの不便な点もあることを初めて知った。また身近なところにたくさんAIが用いられておりもう少しAIについて知っておくべきだなと思った。,
C-2021-1_U85,AIは機械学習によって機能しているということ、その学習によって得た情報から関数を用いて機能すること、深層ニュートラルネットワークとは最新型AIのことで、大量のデータと学習によって非常の高性能な機能を持つということ、AIが劇的に進化した理由が深層ニュートラルネットワークの利用と非常に大規模なデータが入手可能になったこととコンピューターのパワーアップであること、さらに加速させているのがオープン戦略であること、特化型AIにも主に３つの問題が存在するということ。,,近年AIは非常に発展している。AIとは人間の知能を真似する機械である。現在利用されているAIは全て、特化型AIと呼ばれており、一つのことのみできるものであり、他のことはできない。人間と同じ柔軟さと多様さを持つAIは汎用AIといって、未だ検討段階である。これを実現するためには、人間の脳の詳しい解析が必要になる。AIは、私たちの身近にもたくさんあり、特定の分野では人間を上回ることもある。,今までAIって得体の知れないもので、恐ろしくも感じてました。しかし、今回の授業を受けてそうでもないんだなと安心しました。よく映画でAIが人間界を支配するという展開をよく見るので、かなり不安を感じていましたが、その世界はまだまだ先のようで安心しました。,
C-2021-1_U86,AIには特化型AIと汎用型AIがあり、現在実現できているのは特化型だけであるといいうこと。,AIが利用されている実例について難しくてあまり理解できなかった。,人工知能（AI）の種類や特徴について,BRmapというものを初めて作ったのでうまくできなかった。,
