userid,1,2,3,4,5,6,7,8,target
B-2020_U50,"""Internet crimes are carried out using various methods. Not only protecting the ICT environment, but also the real environment should be concerned about information leaks. It is necessary to use the Internet keeping in mind that there is a possibility that","""Your IP address is sent to a server when you connect to the net.""",,,"""I'm glad I learned how to apply what I've learned in class to society.""","""In the Internet world, encryption and signature technologies are used to block malicious programs and sites in order to protect security. However, instead of completely trusting the system, pay attention to password management other than ICT. should pay.""","""I wanted to know what the security situation was like overseas.""",,0
B-2020_U52,"""Understand threats that do not use ICT, and understand the anonymity and danger of hijacking in the ICT environment.""","""I learned what to be careful about against threats that do not use ICT, and what to be careful about and what not to do to protect your information in an ICT environment.""",,,,,,"""It was very helpful to have slides on how to check security on iPhone and Mac and how to set it up when taking security measures.""",0
B-2020_U53,"""Cheating without using ICT, problems on SNS""",,,,,,,"""Some subjects ended without me knowing the teacher's face, so I feel a bit lonely. It's hard to keep my concentration. I sometimes ended up taking classes while doing other things. Missing classes because I forgot to update my moodle."" There were several times, and I was in trouble.""",1
B-2020_U54,,"""It was easy to understand because there were many similarities with the contents so far. I was able to reaffirm the importance of handling personal information.""","""I didn't understand bitcoin very well.""",,,,,"""Compared to other classes, I think it was a more efficient class thanks to the functions of the buttons that I understood.",0
B-2020_U55,,,,,,,"""I had a vague understanding of encryption technology related to hash functions, but I didn't really understand what was going on.""",,0
B-2020_U56,,,"""Something I understand.""",,"""Thank you for what you have done.""","""How to use ICT safely""",,"""We were very grateful for your consideration of our learning.""",-2
B-2020_U58,,,"""None.""",,,,,,0
B-2020_U59,"""Cyber-attacks have threats such as attacks that target people, anonymity, spoofing, and hijacking. If you are not careful, your information may be stolen in unexpected ways. It is important to leave the company calmly by taking confirmation.""","""I found out that information can be extracted even in the case of 〇〇 diagnosis. I found out that it is unexpectedly easy to identify an individual.""",,,,,"""There are many laws related to cybersecurity, and it was difficult to know what role each law should play.""","""I'm glad you answered my question. I think your last question was probably about trying to use someone else's photo for a work that was only done during class time.
The class was also easy to understand. I feel a little sad when it ends. thank you very much. """,1
B-2020_U6,"""Various dangers when using ICT.""","""We found that individuals can be identified from diagnostic sites, and chain mails may be sent through acquaintances.""",,,"""The Internet and SNS are very basic, but there is a high risk of being misused, so I wanted to be careful when using them. Also, as technology progresses, I think new measures will be necessary. , I want to make sure I know the latest information.""","""As the Internet society progresses, various measures are being taken to protect important information such as personal information, but the methods of abuse are also progressing.""",,,1
B-2020_U60,,,,,"""For those of us who use SNS a lot, attacks such as spoofing and understanding of anonymity are very familiar issues, so it was very helpful.""",,,,0
B-2020_U62,,,"""Nothing in particular""","""Nothing in particular""",,"""In order to protect your information, it is important to think and act on your own, such as using biometric authentication and complex passwords, and updating frequently.""",,,0
B-2020_U63,"""Specific Examples of Cyber ​​Crime""",,,,"""My quiz score wasn't very good.""","""Until now, I've been using IDs and passwords for various SNS accounts, but I realized that it was a dangerous favor, so I want to quit now.""",,"""Thank you very much for creating the slides and for the Teams lectures over the course of the 7 classes. It was very easy to understand each time.""",-2
B-2020_U64,,,,,,"""Now I know what the law on personal information is""","""I didn't really understand the distinction between the three elements that make up information security.""","""I want face-to-face classes to start soon.""",-1
B-2020_U65,"""On the Internet, due to social attacks, etc., accounts and emails such as SNS are hijacked, passwords are stolen, personal information is stolen, and people become victims of chain emails. In addition, misinformation can be spread through techniques such as impersonation.""",,,,,,"""When using the Internet, there are various laws that must be observed, such as the Basic Act on Cyber ​​Security and the Act on Prohibition of Unauthorized Computer Access, and I still do not have a deep understanding of those laws.""","""It was online, but it was easy to understand with a polite explanation.""",0
B-2020_U66,"""Understanding non-ICT threats, understanding hijacking and authenticity of anonymity""","""Anonymity should not be over-trusted. If a password consists of 10 digits and alphanumeric characters, it will take 67 years to analyze it.""",,,,"""I remember the Dos attack the most. I always see the reason why Moodle stops working at 13:00 and right before the assignment deadline is because Kyushu University students are doing a Dos attack.""",,"""Personally, rather than studying physics, I feel that cyber security is more useful and important in life in the Internet society, so I enjoyed taking the quiz. There were times when I didn't understand the finer differences, so I thought I had to understand it properly and be careful.""",-1
B-2020_U68,,,,,"""I will continue to pay attention to how I use SNS.""","""I learned about safe settings for cyber security, ciphertext technology, research and information ethics in handling information, copyrights and related laws, and this threat that does not use ICT.""","""There were some details I didn't understand, such as the detailed explanation of encryption technology, but I understood the basics.""",,1
B-2020_U69,"""It is important to manage your SNS and terminals without letting your guard down just because you have a password.""",,,"""Nothing special""","""Even in an emergency, I felt the importance of carefully selecting and incorporating the emails and information I receive.""",,,,0
B-2020_U70,,"""I was able to understand the threats on SNS.""",,,"""I was able to reconfirm the dangers of SNS, which has become indispensable in our lives. I think it's up to you how you use it, so I want to use it responsibly.""","""It was great to learn things I didn't know before about how to create secure passwords and encryption techniques.""",,,0
B-2020_U71,,,,,,,,"""Thank you for all the 7 lessons. I was able to learn about the threats of the Internet, which are very familiar to us, and how to use them properly. Thank you very much.""",-1
B-2020_U72,,"""It is almost impossible to be completely anonymous""",,,,,,,-1
B-2020_U73,"""Introduction of the existence of threats that do not use ICT, talk about the anonymity of the Internet and identification of individuals, hijacking by cooperative services, etc.""",,,,,"""I was able to learn what kinds of defense methods (settings, encryption, laws, rights, etc.) exist for cyber security.""","""Types of copyright, judgments in cases of exceptions, laws, etc. are a little complicated, and I'm worried if I understand them.""","""The flow of preparation → commentary → review was very good, and I felt that the online class was the most effective for learning. Thank you very much.""",0
B-2020_U74,,,,"""Nothing in particular.""",,,,,-1
B-2020_U75,,,"""I didn't get a perfect score on the quiz""",,,,"""I didn't understand this class the most""","""There were times when I was confused because I was not used to using a computer. There were times when I forgot to do Simpla Z. Thank you for the spring semester.""",0
B-2020_U78,"""Threats to ICT exist even in areas where ICT is not used in society, so it is necessary to be careful. Depending on the information posted on the Internet and how services are used, personal information can be identified or hijacked. There is a risk.""","""I was able to learn about the threat of personal information identification hidden around us.""",,,"""I wasn't able to prepare enough.""","""Research ethics that must be observed in conducting research, methods to prevent fraud, the distinction between personal information and privacy, copyrights, moral rights of authors, adjacent copyrights, performer's rights, etc. content and scope of application, etc.""","""Regarding public key cryptography, I didn't really understand how it is possible to decrypt a cipher once converted with a different key.""",,1
B-2020_U79,,,,,"""I was a little scared because I thought that just like personal information would be stolen on a personality test site, people who could answer common questionnaires and earn pocket money would also be stolen.""","""Even on the Internet, there are laws and literacy that must be followed, so you should fully understand them before using them. Also, you should know how to attack and know how to protect your personal information. It's important.""",,,0
B-2020_U8,"""In this class, I understood that attacks on ICT include threats that do not use ICT (take advantage of psychological gaps and mistakes in behavior). I understood the danger of being hijacked.
""",,,,,,"""There are more information security laws than I expected, and it was hard to distinguish.""",,1
B-2020_U80,,,,,"""I also use SNS, and I am always careful to protect my personal information and keep anonymity as a good thing and not to do bad things. I want to continue.""",,,,0
B-2020_U81,,,,,,"""Personal information is an important thing that must be protected, and there are various security systems and laws to protect it. However, we should always be vigilant because information may be leaked if we are not careful enough. that it is necessary to keep",,,1
B-2020_U85,,,,,"""It was easy to understand with lots of concrete examples""",,,,1
B-2020_U86,"""It is necessary to be aware that your information may be exposed to danger whether in an ICT environment or not, and to take minimum self-defense measures. It is important to pay attention to the leakage of personal information when disseminating information, and to examine the authenticity of information when you yourself receive it.""","""I found that passwords can be made much stronger by combining numbers and English.""",,,"""As biometric authentication progresses, it will be possible to identify objects from various perspectives, so I thought that even a slight change could make it difficult for people to identify themselves.""","""The author's moral right is a right to protect the author from being mentally harmed and cannot be transferred or inherited. A copyright is a right to protect property interests and cannot be transferred or inherited. It is possible. I found that there is such a difference between the two.""",,"""This class was the only online class where I could access the site a little earlier than class time, but my attendance would be judged.",1
B-2020_U87,,,,,"""Although there were a lot of slides, I was able to learn a lot of different case studies.""",,,,0
B-2020_U89,"""Security threats come not only from ICT. There is also the possibility that passwords and personal information may be leaked through analog means, such as eavesdropping on input screens, listening over the telephone, etc. In addition, personal information on the Internet is It is not a simple matter of whether or not a photo is displayed. sometimes specified. ""","""There was a description that the quality of chain mail deteriorated, but in that respect Twitter's retweet function can spread information without reducing quality, so I felt that it is a powerful function for better or worse.""",,,,,,"""In general, most of the lectures are on-demand, so it was very helpful to have the audio lectures using Teams. It's embarrassing to be a university student, but learning independently I'm not good at it, so I felt it was quite painful to take the on-demand format.Also, I think the teacher said around the first time, ""Basically, self-study, I will explain the parts I don't understand."" Even so, although there was a difference, I didn't feel like I was studying on my own because I touched all the parts of the textbook. Personally, I think it was one of the lectures in the spring semester that was the closest to a face-to-face class. """,1
B-2020_U9,"""As countermeasures against social attacks, it is effective to ask again, confirm your identity, set a password that is difficult to understand, check if you are being watched when you type, use biometric authentication, etc., and multiple answers are available in personality tests. It is necessary to be careful because there is a possibility that information that can lead to personal information may be lost if all are integrated.Bitcoin is divided into multiple important parts, and even if one is damaged, the whole will be affected. However, there is a drawback that if the exchange fails, it will affect the entire system.Since chain mail is sent from acquaintances, it is easy to believe it, and it is possible to cooperate in the spread of hoaxes and malware. Also, even if anonymity is maintained, it can be identified if something happens, so you have to take responsibility for what you say.PCs and mobile phones each have an IP address, and each terminal has an IP address. It is possible to identify whether the access is from.""","""We found Bitcoin to be highly secure.
I also found out that chain mail can make you a perpetrator without knowing it.
In addition, I learned about countermeasures against social attacks and chain mails. ""","""I didn't understand the purpose of the old chain mail.""","""When chain mail was a letter, what benefit would the sender gain from passing a letter of misfortune, etc.?""","""I'm glad that I learned about countermeasures against social attacks, which can be directly useful in my life. I want to be careful not to be subjected to such attacks. I would like to be careful not to act or say something that I am not responsible for because I am sagging.""","""Research misconduct includes ``falsification,'' ``plagiarism,'' and ``fabrication,'' and researchers must not engage in these activities in their research. In addition, researchers have a responsibility to contribute to the progress of science and the safety and security of society, and to protect the interests of their research institutions and clients. The three major elements that make up information security are maintaining confidentiality, integrity, and availability. encrypted and decrypted using the key. “Personal information” is not simply information held by an individual, but information that can be combined to identify an individual. In addition, copyright is included in intellectual property rights, and copyright includes author's rights and related rights. This is separate from industrial property rights, which include patents and trademark rights. The rights of authors include moral rights and property rights, and the rights of film directors and others include neighboring rights. Works that are recognized as works are those that express the thoughts and feelings of the author, and ideas that are not expressed are not recognized as works. """,,,1
B-2020_U92,"""I learned about the fragility of information about ICT, how information is leaked, the fear of SNS, cyber attacks, and cyber scams that I use every day.""","""Until now, I've been using my phone and computer without feeling any fear, but I found out that there are more fears hidden in it than I thought.""",,,,,,,1
B-2020_U93,"""Reason and cause of leakage of personal information""","""Photos should be considered and posted""",,,"""I thought I understood, but I'm not sure if I understand.""",,,,-1
B-2020_U94,,,,,"""I also use SNS, so I don't want to get involved in troubles such as being hijacked by others.""","""There are public key cryptography and private key cryptography, and how they work.
Cybersecurity Basic Law and its history. """,,"""Usually easy to understand, but sometimes I couldn't understand which page was explained.""",-1
B-2020_U95,,,,,,,"""I didn't understand much of the content, such as research ethics, the Basic Act on Cyber ​​Security, and the right to publish copyrights.""",,0
C-2021-1_U100,,"""I've been wondering how searches on google etc. are done, so I feel like I figured it out somehow.""",,,"""I felt that various trials and errors have been made in terms of what is the best way to reduce the number of comparisons.""",,,,-2
C-2021-1_U101,"""Merge sort is a method of dividing one number sequence into several pieces, arranging them, then comparing the numbers in order from the beginning, storing them in a new number sequence in order from the smallest, and arranging them. Linear search is a method. Binary search is a method of searching in ascending or descending order when examining whether an element x is included in a certain sequence, starting from the beginning of the sequence. By comparing the middle value of the rearranged series with x, it is determined whether the element x is in the front half or the rear half of the whole, and the side where the element x does not exist is removed from the search range and the existing side is newly Comparing x and the median value as a valid search range... By repeating this, it is a method to determine whether the element x exists or not.In terms of search methods, binary search is overwhelmingly faster than linear search.""",,,,,,,,-2
C-2021-1_U105,"""How merge sort algorithms work. How comparison sort algorithms work. Comparison-based sort algorithms always require O(nlogn) comparisons. So, is there a way to sort without comparing elements? Binary search."" The time complexity of the modulus is O(logn).""","""In the merge sort algorithm, first split the number sequence into two, sort each of them, and then merge the two columns after sorting. Let the lengths of the two split sequences be n₁ and n₂, respectively, and the number of comparisons is At most n₁＋n₂-1. Split and merge are done many times.""",,,"""I can understand each method of the sorting algorithm, but when it comes to the number of comparisons and order notation, I suddenly lost my mind. I also lost my sense of what the purpose of the method was. So I decided to study it again.""",,,,-1
C-2021-1_U107,"""Mergesort and Binary Search""",,,,"""Feeling like a continuation of the last time""",,,,0
C-2021-1_U11,"""Linear search is the method of searching from the beginning when elements are not aligned, and binary search is the method of searching by comparing elements in the middle when aligned.""",,"""The calculation formula was difficult, so I want to be careful.""",,"""Various calculation methods have appeared, so I would like to organize and understand them.""",,,,-3
C-2021-1_U12,"""I learned how to use mergesort and binary search, and how to compare their computational complexity and speed.""","""When using a tree, the number of comparisons does not exceed the number of stages in the tree. I thought it was amazing to compare from the middle with binary search.""","""Different number of comparisons between binary search and binary search using suffix
There were things I haven't caught up on yet, such as the proof of calculations.""","""Is the worst-case complexity the sum of the number of comparisons and the number of exchanges?""","""It's very difficult.
However, I was very interested in the fact that the development of new comparison methods will increase the speed. I think it's a field with a lot of future. """,,,,-1
C-2021-1_U13,,"""I learned about the new meaning of merging and its usefulness, and now I can make better choices.""","""preparation""",,,,,,-2
C-2021-1_U14,"""On Mergesort and Binary Search""",,,,,,,,-2
C-2021-1_U15,"""The last one was easier""","""I understand how keyword searches work""",,,"""B unit was difficult, so I want to review it properly""",,,,-2
C-2021-1_U19,"""Binary search is much faster than linear search.""",,,,,,,,-3
C-2021-1_U2,"""I checked the complexity by looking at the mergesort and binary search algorithms, and learned that the number of comparisons is at least on the order of O(n log n).""",,,,,,,,-3
C-2021-1_U20,,"""Comparison-based sorting always requires O(nlogn) comparisons.""",,,,,,,-3
C-2021-1_U22,"""By splitting it into two and comparing them, you can sort by fewer comparisons.""",,,,,,,,-1
C-2021-1_U23,"""In merge sort, we divide and merge using a method that integrates aligned input sequences and outputs one aligned sequence. Comparison-based sorting algorithms require O(nlogn) comparisons. Binary search is sometimes used to search for information at high speed, but if the elements are not aligned in the first place, a linear search that searches from the beginning may require a large number of comparisons. If is aligned, you can compare with the middle element and narrow down the range to compare, and you can finish overwhelmingly faster than linear search.In the case of keywords, considering the suffix, the same binary search It can be performed.""","""I was able to understand how to use merge sort, linear search, and binary search. I learned how efficient binary search is.""","""I didn't understand ``The number of comparisons in the comparison sorting algorithm is less than or equal to the minimum height of a binary tree with at least n! leaves''. """,,,,,,-3
